alpha,cl,cd,cm
-180.0,0.0,0.0,0.0
-175.0,0.1736,0.0093,0.0218
-170.0,0.342,0.0369,0.0434
-165.0,0.5,0.0819,0.0647
-160.0,0.6428,0.143,0.0855
-155.0,0.766,0.2184,0.1057
-150.0,0.866,0.3056,0.125
-145.0,0.9397,0.4023,0.1434
-140.0,0.9848,0.5052,0.1607
-135.0,1.0,0.6114,0.1768
-130.0,0.9848,0.7175,0.1915
-125.0,0.9397,0.8204,0.2048
-120.0,0.866,0.9171,0.2165
-115.0,0.766,1.0043,0.2266
-110.0,0.6428,1.0796,0.2349
-105.0,0.5,1.1408,0.2415
-100.0,0.342,1.1858,0.2462
-95.0,0.1736,1.2134,0.249
-90.0,0.0,1.2226,0.25
-85.0,-0.1736,1.2134,0.249
-80.0,-0.342,1.1858,0.2462
-75.0,-0.5,1.1408,0.2415
-70.0,-0.6428,1.0796,0.2349
-65.0,-0.766,1.0043,0.2266
-60.0,-0.866,0.9171,0.2165
-55.0,-0.9397,0.8204,0.2048
-50.0,-0.9848,0.7252,0.1915
-45.0,-0.9953,0.626,0.1791
-40.0,-1.0154,0.5401,0.1416
-39.0,-1.0169,0.5222,0.1346
-38.0,-1.0047,0.5059,0.1276
-37.0,-1.0053,0.4886,0.1213
-36.0,-0.993,0.4707,0.115
-35.0,-0.9807,0.4535,0.1088
-34.0,-0.9684,0.4349,0.1032
-33.0,-0.9413,0.4154,0.0962
-32.0,-0.9199,0.2846,0.0452
-30.0,-0.9106,0.2564,0.0343
-28.0,-0.9022,0.2282,0.0235
-26.0,-0.8773,0.2012,0.0134
-24.0,-0.8547,0.1742,0.0033
-22.0,-0.8208,0.1508,-0.0051
-20.0,-0.7869,0.1273,-0.0136
-18.0,-0.7508,0.1072,-0.0195
-16.0,-0.7145,0.0871,-0.0255
-14.0,-0.6703,0.0717,-0.0266
-12.0,-0.6261,0.0562,-0.0278
-10.0,-0.6337,0.0439,-0.0191
-8.0,-0.6413,0.0316,-0.0105
-6.0,-0.4596,0.0237,-0.0303
-4.0,-0.2777,0.0157,-0.0502
-2.0,0.0075,0.0143,-0.0681
0.0,0.2927,0.0128,-0.0858
2.0,0.5593,0.0129,-0.0962
4.0,0.816,0.0135,-0.1041
6.0,1.0598,0.0145,-0.1095
8.0,1.2858,0.0163,-0.112
10.0,1.4774,0.0194,-0.1101
12.0,1.6195,0.0244,-0.1037
14.0,1.6744,0.0359,-0.0951
16.0,1.5235,0.0673,-0.0902
18.0,1.2885,0.1126,-0.0979
20.0,1.19,0.1534,-0.1091
22.0,1.1447,0.1919,-0.1198
24.0,1.1,0.2301,-0.1306
26.0,1.0981,0.2654,-0.1403
28.0,1.0964,0.3007,-0.15
30.0,1.105,0.3347,-0.1593
32.0,1.1138,0.3688,-0.1687
33.0,1.1422,0.4318,-0.1202
34.0,1.1652,0.45,-0.1242
35.0,1.1752,0.4672,-0.1282
36.0,1.1688,0.4851,-0.1322
37.0,1.16,0.5007,-0.1361
38.0,1.1682,0.5187,-0.14
39.0,1.1618,0.5373,-0.1439
40.0,1.1413,0.5549,-0.1478
45.0,1.0354,0.646,-0.1706
50.0,0.9771,0.7356,-0.1851
55.0,0.9185,0.8237,-0.1993
60.0,0.866,0.9171,-0.2131
65.0,0.766,1.0043,-0.2251
70.0,0.6428,1.0796,-0.2349
75.0,0.5,1.1408,-0.2415
80.0,0.342,1.1858,-0.2462
85.0,0.1736,1.2134,-0.249
90.0,0.0,1.2226,-0.25
95.0,-0.1736,1.2134,-0.249
100.0,-0.342,1.1858,-0.2462
105.0,-0.5,1.1408,-0.2415
110.0,-0.6428,1.0796,-0.2349
115.0,-0.766,1.0043,-0.2266
120.0,-0.866,0.9171,-0.2165
125.0,-0.9397,0.8204,-0.2048
130.0,-0.9848,0.7175,-0.1915
135.0,-1.0,0.6114,-0.1768
140.0,-0.9848,0.5052,-0.1607
145.0,-0.9397,0.4023,-0.1434
150.0,-0.866,0.3056,-0.125
155.0,-0.766,0.2184,-0.1057
160.0,-0.6428,0.143,-0.0855
165.0,-0.5,0.0819,-0.0647
170.0,-0.342,0.0369,-0.0434
175.0,-0.1736,0.0093,-0.0218
180.0,0.0,0.0,0.0
